femur,female,sd
0,1,1
0,1,0.99
0,1,0.98
0,1,0.971
0,1,0.961
0,1,0.951
0.0000001,1,0.941
0.0000001,1,0.931
0.0000001,1,0.922
0.0000002,1,0.912
0.0000002,1,0.902
0.0000003,1,0.892
0.0000005,1,0.882
0.0000008,1,0.873
0.0000009,1,0.863
0.0000013,1,0.853
0.0000017,1,0.843
0.000002,1,0.833
0.000002,1,0.824
0.0000021,1,0.814
0.0000022,1,0.804
0.0000031,1,0.794
0.0000045,1,0.784
0.0000054,1,0.775
0.0000064,1,0.765
0.0000072,1,0.755
0.0000076,1,0.745
0.000009,1,0.735
0.0000113,1,0.725
0.0000151,1,0.716
0.0000182,1,0.706
0.0000193,1,0.696
0.0000201,1,0.686
0.0000241,1,0.676
0.0000325,1,0.667
0.0000405,1,0.657
0.0000488,1,0.647
0.0000545,1,0.637
0.0002539,1,0.627
0.0004659,1,0.618
0.0004895,1,0.608
0.0005057,1,0.598
0.0005184,1,0.588
0.0007275,1,0.578
0.0009434,1,0.569
0.000984,1,0.559
0.0010905,1,0.549
0.0016577,1,0.539
0.0022534,1,0.529
0.0024024,1,0.52
0.003199,1,0.51
0.0039877,1,0.5
0.0046806,1,0.49
0.0056846,1,0.48
0.0069117,1,0.471
0.0079952,1,0.461
0.0082173,1,0.451
0.0084825,1,0.441
0.0089731,1,0.431
0.0095157,1,0.422
0.012084,1,0.412
0.0154132,1,0.402
0.017346,1,0.392
0.0184317,1,0.382
0.021022,1,0.373
0.0238329,1,0.363
0.0249374,1,0.353
0.0279831,1,0.343
0.0334243,1,0.333
0.0451414,1,0.324
0.0537993,1,0.314
0.0564029,1,0.304
0.0600365,1,0.294
0.0613076,1,0.284
0.0654109,1,0.275
0.0743639,1,0.265
0.0807128,0.979,0.265
0.0821244,0.957,0.265
0.0943738,0.957,0.255
0.107034,0.957,0.245
0.1090558,0.957,0.235
0.1192175,0.957,0.225
0.1285661,0.957,0.216
0.1595156,0.957,0.206
0.1975773,0.957,0.196
0.2066054,0.957,0.186
0.2120999,0.936,0.186
0.2168435,0.936,0.176
0.222206,0.915,0.176
0.2286335,0.894,0.176
0.2351704,0.894,0.167
0.2434534,0.894,0.157
0.2504713,0.894,0.147
0.2775875,0.872,0.147
0.3036458,0.851,0.147
0.3089896,0.851,0.137
0.3322871,0.851,0.127
0.376211,0.851,0.118
0.4015333,0.851,0.108
0.4069306,0.851,0.098
0.4146942,0.851,0.088
0.4204745,0.851,0.078
0.4684407,0.851,0.069
0.5188207,0.851,0.059
0.5495493,0.851,0.049
0.5794671,0.83,0.049
0.583157,0.83,0.039
0.6153394,0.809,0.039
0.6546839,0.809,0.029
0.6874197,0.809,0.02
0.7213722,0.787,0.02
0.7400914,0.766,0.02
0.7599171,0.745,0.02
0.7708257,0.723,0.02
0.7914621,0.702,0.02
0.814493,0.681,0.02
0.8262013,0.66,0.02
0.8467674,0.638,0.02
0.8595563,0.617,0.02
0.862071,0.596,0.02
0.8645682,0.574,0.02
0.8687361,0.553,0.02
0.8722331,0.532,0.02
0.8723249,0.532,0.01
0.8813498,0.511,0.01
0.903395,0.489,0.01
0.9179512,0.468,0.01
0.9206761,0.447,0.01
0.9220548,0.426,0.01
0.9254247,0.404,0.01
0.9296258,0.383,0.01
0.9314583,0.362,0.01
0.9340455,0.34,0.01
0.9380865,0.319,0.01
0.9412735,0.298,0.01
0.9423363,0.298,0
0.942549,0.277,0
0.9432994,0.255,0
0.9440819,0.234,0
0.9459406,0.213,0
0.9514748,0.191,0
0.9571668,0.17,0
0.9595672,0.149,0
0.960818,0.128,0
0.9634734,0.106,0
0.9685892,0.085,0
0.9723018,0.064,0
0.9756031,0.043,0
0.9809677,0.021,0
1,0,0
